cell,binary,pair,pos,rate,think,tick_us,worker_threads,pre_vus,max_vus,cores,exit,iterations,dropped,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
r250000-1ms-tick1000-wt16,base,2,2,250000,1ms,1000,16,512,1024,0-19,0,1578715.0,920581.0,157871.5,11.036,97613.43,160385297759,84642843928,3325115,176,457887948
r250000-1ms-tick1000-wt16,base,3,1,250000,1ms,1000,16,512,1024,0-19,0,1691414.0,807938.0,169141.4,11.039,95459.45,181508932190,93010495061,3808735,20761,501608462
r250000-1ms-tick1000-wt16,cand,3,2,250000,1ms,1000,16,512,1024,0-19,0,2120629.0,379189.0,212062.9,10.030,93338.77,155150356271,80792682626,3210234,196,459501984
r250000-1ms-tick1000-wt16,cand,4,1,250000,1ms,1000,16,512,1024,0-19,0,2182410.0,317097.0,218241.0,10.034,94380.36,154465357021,80317553957,3056218,233,445585053
r250000-1ms-tick1000-wt16,base,4,2,250000,1ms,1000,16,512,1024,0-19,0,1436463.0,1062745.0,143646.3,11.034,94411.64,159191412205,83900008499,3550114,4880,455664849
r250000-1ms-tick1000-wt16,base,5,1,250000,1ms,1000,16,512,1024,0-19,0,1286987.0,1212342.0,128698.7,11.037,89155.87,161441394063,82690263312,3756997,466,445234701
r250000-1ms-tick1000-wt16,cand,5,2,250000,1ms,1000,16,512,1024,0-19,0,1974430.0,525141.0,197443.0,10.036,92196.92,139606429821,72506443420,2794732,174,393347529
r50000-0s-tick5000-wt2,base,0,warmup,50000,0s,5000,2,64,128,0-3,0,255927.0,243876.0,25592.7,11.028,1315.53,2032637689,2448966889,8516,10,31857226
r50000-0s-tick5000-wt2,cand,0,warmup,50000,0s,5000,2,64,128,0-3,0,499800.0,0,49980.0,10.028,2429.69,3664785344,3813993230,12990,5,31505895
r50000-0s-tick5000-wt2,base,1,1,50000,0s,5000,2,64,128,0-3,0,255925.0,243845.0,25592.5,11.029,1508.92,2117715342,2470488546,8507,6,34697796
r50000-0s-tick5000-wt2,cand,1,2,50000,0s,5000,2,64,128,0-3,0,499804.0,0,49980.4,10.027,2357.55,3427886678,3806896676,12962,2,31146241
r50000-0s-tick5000-wt2,cand,2,1,50000,0s,5000,2,64,128,0-3,0,499784.0,0,49978.4,10.028,2368.28,3462591684,3785802446,12962,6,31292300
